,Unnamed: 0,F/H,sector,society,price,price_per_sqft,total_area(sqft),bedRoom,bathroom,balcony,additionalRoom,address,floorNum,agePossession,furnishing_type,additional_room_count,luxury_score
22,22,1,95,rof anot availableda,0.55,5500,1000,3,2,2,1.0,"B Tower 14 Floor, Sector 95 Gurgaon, Gurgaon, Haryana",14.0,Relatively New,1,1.0,30
23,23,1,79,mapsko mount ville,1.3,8024,1620,3,3,3,0.0,"Sector 79 Gurgaon, Gurgaon, Haryana",1.0,New,2,0.0,140
24,24,1,90,dlf new town heights ,1.54,6514,2364,4,4,3,2.0,"Sector 90 Gurgaon, Gurgaon, Haryana",12.0,Relatively Old,2,2.0,111
25,25,0,12,indepedent,2.0,14954,1337,3,1,0,0,"Manesar, Gurgaon, Haryana",3.0,Relatively Old,0,0.0,16
26,26,0,12,indepedent,6.0,35088,1710,9,6,2,0,"Near Sadar Bazar Gurgaon, Jacobpura, Gurgaon, Haryana",3.0,Old,0,0.0,0
27,27,0,55,indepedent,5.0,44444,1125,9,9,3,others,"Sector 55 Gurgaon, Gurgaon, Haryana",3.0,Relatively New,2,1.0,44
29,29,1,102,shapoorji pallonji joyville gurugram,1.4,11666,1200,2,2,3,0.0,"101, Sector 102 Gurgaon, Gurgaon, Haryana",7.0,New,0,0.0,80
30,30,1,77,emaar mgf palm hills,1.25,8620,1450,3,4,3,1.0,"Ph3 40 102, Sector 77 Gurgaon, Gurgaon, Haryana",1.0,New,2,1.0,104
31,31,1,37C,apex our homes,0.33,3567,925,2,2,1,0.0,"358, Sector 37C Gurgaon, Gurgaon, Haryana",3.0,New,2,0.0,158
32,32,1,50,the close north,2.35,11227,2093,3,3,3,1.0,"801, Nirvana Country, Gurgaon, Haryana",8.0,Relatively Old,2,1.0,149
33,33,0,56,indepedent,3.25,21495,1512,5,6,3,"pooja room,others","Sector 56 Gurgaon, Gurgaon, Haryana",3.0,New,2,2.0,27
34,34,1,107,signature global solera 2,0.37,6680,554,2,2,2,0.0,"Sector 107 Gurgaon, Gurgaon, Haryana",9.0,Relatively New,0,0.0,23
35,35,1,89,smart world gems,1.0,9007,1110,2,2,3,2.0,"O-101c, Sector 89 Gurgaon, Gurgaon, Haryana",3.0,Relatively New,0,2.0,99
36,36,1,69,tulip violet,1.68,10071,1668,3,3,2,0.0,"003, Sector 69 Gurgaon, Gurgaon, Haryana",7.0,New,0,0.0,157
37,37,1,70,shree vardhman victoria,1.15,8518,1350,2,2,3,2.0,"N66, Sector 70 Gurgaon, Gurgaon, Haryana",8.0,New,0,2.0,49
38,38,1,67,m3m urbana,1.0,12106,826,1,1,1,0.0,"Sector 67 Gurgaon, Gurgaon, Haryana",17.0,New,0,0.0,49
39,39,1,99A,pareena coban residences,1.08,6625,1630,3,5,3,2.0,"Sector 99A Gurgaon, Gurgaon, Haryana",2.0,New,0,2.0,49
40,40,1,99A,pareena coban residences,1.05,6774,1550,2,2,3,1.0,"Sector 99A Gurgaon, Gurgaon, Haryana",2.0,New,0,1.0,49
41,41,1,102,shapoorji pallonji joyville gurugram,0.95,10383,915,2,2,2,0.0,"Sector 102, Sector 102 Gurgaon, Gurgaon, Haryana",14.0,New,0,0.0,0
42,42,1,71,signature andour heights,0.65,10172,639,2,2,1,0.0,"Sector 71 Gurgaon, Gurgaon, Haryana",10.0,New,2,0.0,23
43,43,1,92,sare crescent parc royal greens phase 1,0.75,4325,1734,4,4,3,0.0,"Sector 92, Sector 92 Gurgaon, Gurgaon, Haryana",3.0,New,0,0.0,93
44,44,1,85,ss the leaf,2.1,8720,2408,3,4,3,1.0,"B-9, Sector 85 Gurgaon, Gurgaon, Haryana",6.0,New,0,1.0,156
45,45,1,12,bhagwati sadan,1.15,5500,2091,3,4,2,2.0,"Mianwali Colony, Sector 12, Gurgaon, Sector 12 Gurgaon, Gurgaon, Haryana",2.0,Old,0,2.0,0
46,46,1,56,kiran residency,1.5,6648,2256,3,5,3,2.0,"000, Sector 56 Gurgaon, Gurgaon, Haryana",4.0,Relatively Old,2,2.0,134
47,47,1,68,supertech hues,0.82,6950,1180,2,2,3,1.0,"Sector-68 Gurgaon, Sector 68 Gurgaon, Gurgaon, Haryana",21.0,Under Construction,0,1.0,72
48,48,1,61,smart world orchard,1.65,13750,1200,2,2,2,1.0,"Sector 61 Gurgaon, Gurgaon, Haryana",1.0,Under Construction,0,1.0,16
51,51,0,39,indepedent,0.34,7555,450,1,1,1,0,"Jharsa Village, Sector 39, Gurgaon, Sector 39 Gurgaon, Gurgaon, Haryana",3.0,New,0,0.0,0
52,52,1,65,m3m heights,2.25,13608,1653,2,2,3,0.0,"Sector 65, Sector 65 Gurgaon, Gurgaon, Haryana",5.0,Under Construction,0,0.0,48
53,53,1,86,ansal heights 86,0.74,5441,1360,2,2,1,1.0,"Ansal Heights, Sector 86, Gurgaon, Sector 86 Gurgaon, Gurgaon, Haryana",11.0,Under Construction,0,1.0,45
54,54,0,4,indepedent,2.35,16319,1440,4,4,2,pooja room,"Sector 4 Gurgaon, Gurgaon, Haryana",3.0,Old,0,1.0,43
55,55,1,85,ss the leaf,1.87,7780,2404,3,4,3,0.0,"702, Sector 85 Gurgaon, Gurgaon, Haryana",7.0,New,0,0.0,49
56,56,1,81,signature global city 81,0.96,9767,983,2,2,2,0.0,"Sector 81 Gurgaon, Gurgaon, Haryana",1.0,Under Construction,0,0.0,49
57,57,1,86,pyramid elite,0.45,7739,581,2,2,1,0.0,"Tower 2 Floor 4th, Sector 86 Gurgaon, Gurgaon, Haryana",4.0,Under Construction,0,0.0,66
58,58,1,111,puri diplomatic greens,3.4,11525,2950,4,5,3,1.0,"Sector 111 Gurgaon, Gurgaon, Haryana",14.0,New,0,1.0,94
59,59,1,108,raheja vedaanta,0.65,4761,1365,2,2,2,1.0,"Dwarka Expressway, Sector 108 Gurgaon, Gurgaon, Haryana",5.0,New,2,1.0,174
60,60,1,66,emaar mgf the palm drive,3.45,15681,2200,3,4,3,1.0,"Sector 66 Gurgaon, Gurgaon, Haryana",6.0,New,2,1.0,95
61,61,1,22,ambience creacions,4.3,13915,3090,3,4,3,2.0,"A102, Sector 22 Gurgaon, Gurgaon, Haryana",6.0,New,1,2.0,120
62,62,1,103,indiabulls centrum park,1.05,5861,1792,2,2,3,0.0,"C Block, Sector 103 Gurgaon, Gurgaon, Haryana",1.0,New,2,0.0,51
63,63,1,108,raheja vedaanta,0.95,5214,1822,3,3,3,1.0,"Sector 108 Gurgaon, Gurgaon, Haryana",3.0,New,0,1.0,95
64,64,1,104,zara aavaas,0.22,7302,301,1,2,2,0.0,"4033, Sector 104 Gurgaon, Gurgaon, Haryana",2.0,Relatively New,0,0.0,60
65,65,0,72,spaze privy,3.1,8486,3653,5,5,3,0,"Sector 72, Sector 72 Gurgaon, Gurgaon, Haryana",3.0,New,0,0.0,0
66,66,1,36,the serenas,0.42,7910,531,2,2,1,0.0,"Sohna Sector 36, Sector 36 Gurgaon, Gurgaon, Haryana",3.0,Relatively New,0,0.0,0
67,67,0,47,indepedent,5.15,26615,1935,9,9,3,store room,"02120, Sector 47 Gurgaon, Gurgaon, Haryana",3.0,New,2,1.0,75
68,68,1,58,ireo the grand arch,4.85,16934,2864,4,5,3,4.0,"2304, sector 58 Gurgaon, Gurgaon, Haryana",23.0,New,2,4.0,49
69,69,1,37D,signature global the millennia 3,0.45,7627,590,2,3,2,0.0,"Sector 37D Gurgaon, Gurgaon, Haryana",8.0,Under Construction,0,0.0,8
70,70,0,50,unitech espace,9.8,30247,3240,4,4,3,servant room,"Nirvana Country, Gurgaon, Haryana",3.0,Relatively Old,0,1.0,22
71,71,1,90,dlf regal gardens,1.7,7223,2354,4,4,3,1.0,"856, Sector 90 Gurgaon, Gurgaon, Haryana",15.0,Relatively Old,0,1.0,38
72,72,1,24,ambience caitriona,14.0,22222,6300,4,5,3,0.0,"Sector 24, Sector 24 Gurgaon, Gurgaon, Haryana",3.0,Old,0,0.0,0
73,73,1,112,experion windchants,2.5,13888,1800,2,2,3,2.0,"104, Sector 112 Gurgaon, Gurgaon, Haryana",10.0,New,2,2.0,174
74,74,0,49,eros rosewood villas,2.8,15555,1800,3,3,3,pooja room,"A22, Sector 49 Gurgaon, Gurgaon, Haryana",3.0,Relatively Old,0,1.0,68
75,75,1,1A,dlf express greens,1.6,6808,2350,4,6,3,3.0,"Sector 1A IMT Manesar, Gurgaon, Haryana",4.0,New,0,3.0,49
76,76,1,65,emaar mgf emerald floors premier,2.85,14430,1975,4,4,3,2.0,"Sector 65 Gurgaon, Gurgaon, Haryana",2.0,New,0,2.0,21
77,77,1,65,m3m golfestate,5.9,17484,3375,3,3,3,2.0,"1501, Sector 65 Gurgaon, Gurgaon, Haryana",18.0,New,0,2.0,76
78,78,1,74,m3m skywalk,2.7,13379,2018,3,3,3,1.0,"1305, Sector 74 Gurgaon, Gurgaon, Haryana",13.0,Relatively New,0,1.0,92
79,79,0,31,indepedent,3.5,24155,1449,4,4,3,store room,"011, Sector 31 Gurgaon, Gurgaon, Haryana",3.0,Old,2,1.0,70
80,80,0,3,indepedent,19.5,27083,7200,8,9,3,"pooja room,study room,servant room","Palam Vihar, Gurgaon, Haryana",3.0,Relatively New,0,3.0,122
81,81,1,84,antriksh heights,0.84,4869,1725,3,3,3,1.0,"Antriksh Heights, Sector 84 Gurgaon, Gurgaon, Haryana",8.0,Relatively New,0,1.0,60
82,82,1,37C,ild greens,1.0,4320,2315,3,3,3,0.0,"Tower 6, Sector 37C Gurgaon, Gurgaon, Haryana",5.0,Under Construction,0,0.0,51
83,83,1,12,bhagwati sadan,1.15,5500,2091,3,4,2,2.0,"Mianwali Colony, Sector 12, Gurgaon, Sector 12 Gurgaon, Gurgaon, Haryana",2.0,Old,0,2.0,0
84,84,1,84,spaze privy at,1.35,9642,1400,3,3,3,1.0,"112, Sector 84 Gurgaon, Gurgaon, Haryana",7.0,New,0,1.0,90
85,85,0,50,unitech escape,12.0,37037,3240,5,6,3,0,"Nirvana Country, Sector 50, Nirvana Country, Gurgaon, Haryana",3.0,Relatively Old,0,0.0,66
86,86,1,60,ireo skyon,2.82,12818,2200,3,3,3,1.0,"203, Sector 60 Gurgaon, Gurgaon, Haryana",2.0,New,2,1.0,174
87,87,1,92,bestech park view sanskruti,1.55,9687,1600,3,3,3,1.0,"Sector 92, Sector 92 Gurgaon, Gurgaon, Haryana",17.0,New,2,1.0,60
88,88,0,106,godrej meridien,5.6,14000,4000,5,4,3,"pooja room,study room,servant room,store room","Aa1, Sector 106 Gurgaon, Gurgaon, Haryana",3.0,Relatively New,0,4.0,151
89,89,1,102,shapoorji pallonji joyville gurugram,1.8,10638,1692,3,3,3,0.0,"Sector 102 Gurgaon, Gurgaon, Haryana",5.0,New,0,0.0,49
90,90,1,10A,sanskriti apartment,1.1,6666,1650,3,3,3,0.0,"Sector 10A Gurgaon, Gurgaon, Haryana",2.0,Relatively Old,0,0.0,22
91,91,1,79,mapsko mount ville,1.4,9395,1490,3,3,3,0.0,"Sector 79 Gurgaon, Gurgaon, Haryana",2.0,Relatively New,2,0.0,112
92,92,1,67,m3m merlin,2.98,14557,2047,3,3,3,1.0,"Sector 67 Gurgaon, Gurgaon, Haryana",7.0,New,2,1.0,49
93,93,1,99,vatika sovereign park,3.2,9922,3225,4,4,0,0.0,"501, Tower - L, Sector 99 Gurgaon, Gurgaon, Haryana",5.0,Under Construction,0,0.0,23
94,94,1,113,smartworld 1dxp,2.75,10589,2597,4,4,3,3.0,"Sector 113 Gurgaon , Gurgaon, Haryana",20.0,Under Construction,1,3.0,57
95,95,0,8,indepedent,0.59,10085,585,2,2,2,others,"191/13 Manohar Nagar Near Navjeevan Hospital., Sector 8 Gurgaon, Gurgaon, Haryana",3.0,Relatively Old,0,1.0,7
96,96,1,76,whiteland blissville,1.92,11500,1670,3,3,2,0.0,"Sector 76, Delhi Gurgaon Expressway, Sector 76 Gurgaon, Gurgaon, Haryana",2.0,Under Construction,0,0.0,61
98,98,0,46,indepedent,2.2,24202,909,3,3,2,store room,"Sector 46 Gurgaon, Gurgaon, Haryana",3.0,Old,2,1.0,56
99,99,1,37C,ild greens,0.95,9223,1030,2,2,3,2.0,"Sector 37C Gurgaon, Gurgaon, Haryana",11.0,New,2,2.0,119
100,100,1,102,shapoorji pallonji joyville gurugram,1.77,9195,1925,3,3,3,0.0,"Sector 102 Gurgaon, Gurgaon, Haryana",1.0,New,0,0.0,151
101,101,1,112,experion windchants,5.2,10726,4848,4,6,3,2.0,"301, Sector 112 Gurgaon, Gurgaon, Haryana",15.0,New,2,2.0,174
102,102,1,7,"m m residency, krishna colony, gurgaon",0.54,5888,917,2,2,1,0.0,"202, Krishna Colony, Gurgaon, Haryana",3.0,New,0,0.0,70
103,103,1,83,vatika emilia floors,0.6,5714,1050,2,2,2,0.0,"Middle Floor, Sector 83 Gurgaon, Gurgaon, Haryana",1.0,New,2,0.0,167
104,104,1,33,godrej nature plus,1.08,13126,823,2,2,3,0.0,"Sector-33 Sohna, Gurgaon, Haryana",8.0,Under Construction,0,0.0,56
105,105,0,105,rajendra park gurgaon,0.37,10277,360,4,3,2,0,"Rajendra Park, Gurgaon, Haryana",3.0,New,0,0.0,0
106,106,1,90,dlf new town heights ,1.42,4864,2919,4,4,3,2.0,"Middle Floor, Sector 90 Gurgaon, Gurgaon, Haryana",8.0,Relatively Old,0,2.0,31
107,107,0,28,indepedent,4.5,13889,3240,4,4,0,0,"Dlf City Phase 4, Sector 28, DLF Phase 4, Gurgaon, Haryana",3.0,New,0,0.0,0
108,108,0,43,sushant lok 1 builder floors,2.45,7756,3159,4,4,3,"pooja room,study room,servant room,others","Sushant Lok Phase 1, Gurgaon, Haryana",3.0,Relatively Old,1,4.0,123
109,109,1,109,ats tourmaline,2.25,8704,2585,3,4,3,1.0,"N/a, Sector 109 Gurgaon, Gurgaon, Haryana",14.0,New,0,1.0,101
110,110,1,102,adani oyster greens,1.9,10058,1889,3,3,3,3.0,"1456, Sector 102 Gurgaon, Gurgaon, Haryana",9.0,New,0,3.0,0
111,111,1,65,m3m heights,2.86,14000,2043,3,3,3,1.0,"Sector 65 Gurgaon, Gurgaon, Haryana",45.0,Under Construction,0,1.0,48
112,112,0,3,indepedent,3.65,23442,1557,9,9,3,"pooja room,servant room","Palam Vihar, Gurgaon, Haryana",3.0,Relatively New,2,2.0,116
113,113,1,84,antriksh heights,0.49,4355,1125,2,2,2,0.0,"Antriksh Heights, Sector 84 Gurgaon, Gurgaon, Haryana",16.0,New,0,0.0,66
114,114,1,82,mapsko royale ville,0.97,5418,1790,3,4,2,1.0,"Sector 82, Sector 82 Gurgaon, Gurgaon, Haryana",16.0,New,0,1.0,95
115,115,1,35,signature global park,0.52,6326,822,2,2,2,1.0,"0001, Sohna, Gurgaon, Haryana",3.0,New,0,1.0,161
117,117,1,3A,"ganpati apartment  2, laxman vihar phase 1",0.45,4705,956,2,2,1,0.0,"Flat No. 002, Laxman Vihar, Gurgaon, Haryana",7.0,New,0,0.0,46
118,118,0,3,indepedent,0.58,10610,547,2,3,2,0,"Gali No 1, Sec 3 Bhim Vihar Part 1 Bhimgher Kheri, Gurgaon, Haryana",3.0,New,0,0.0,8
119,119,1,99A,pareena laxmi apartments,0.31,5904,525,2,2,2,0.0,"Tower-4, 607(6th Floor), Sector 99A Gurgaon, Gurgaon, Haryana",6.0,Relatively New,0,0.0,74
120,120,1,61,pioneer park,2.1,11666,1800,3,3,3,0.0,"Sector 61 Gurgaon, Gurgaon, Haryana",15.0,New,2,0.0,49
121,121,1,25,dlf beverly park,8.0,15384,5200,5,5,3,4.0,"Penthouse No. 209-A, DLF Phase 2, Gurgaon, Haryana",2.0,Old,1,4.0,26
123,123,0,54,indepedent,3.75,26042,1440,4,4,3,servant room,"Sector 54 Gurgaon, Gurgaon, Haryana",3.0,Relatively Old,2,1.0,13
124,124,0,103,satya the hermitage,3.15,6702,4700,4,5,0,0,"Sector 103, Sector 103 Gurgaon, Gurgaon, Haryana",3.0,New,0,0.0,61
125,125,1,84,antriksh heights,0.85,5556,1530,2,2,3,2.0,"Antriksh Height, Sector 84 Gurgaon, Gurgaon, Haryana",10.0,Relatively New,0,2.0,24
126,126,1,104,ats triumph,2.62,8317,3150,4,4,3,1.0,"6152, Sector 104 Gurgaon, Gurgaon, Haryana",14.0,New,0,1.0,174
127,127,1,89,smart world gems,0.86,7796,1103,2,3,3,0.0,"Sector 89 Gurgaon, Gurgaon, Haryana",4.0,Under Construction,0,0.0,45
128,128,1,79,supertech araville,0.71,6061,1171,2,2,3,1.0,"E 1706, Sector 79 Gurgaon, Gurgaon, Haryana",17.0,Relatively New,0,1.0,53
130,130,1,90,shree vardhman flora,1.25,4854,2575,4,5,2,2.0,"1004, Sector 90 Gurgaon, Gurgaon, Haryana",8.0,New,0,2.0,165
131,131,0,47,malibu towne,8.81,27191,3240,8,6,3,"study room,servant room,others","Cedar Drive, Malibu Town, Gurgaon, Haryana",3.0,Relatively Old,2,3.0,27
132,132,1,35,signature global park,0.79,7308,1081,3,2,3,0.0,"A52, Sohna, Gurgaon, Haryana",4.0,Under Construction,0,0.0,109
133,133,1,104,godrej summit,0.82,9854,832,2,2,3,1.0,"Sector 104 Gurgaon, Gurgaon, Haryana",12.0,New,0,1.0,120
134,134,1,92,bestech park view sanskruti,1.83,7870,2325,4,3,3,1.0,"Sector 92 Gurgaon, Sector 92 Gurgaon, Gurgaon, Haryana",8.0,Relatively New,0,1.0,128
135,135,0,50,indepedent,7.0,32407,2160,3,2,0,0,"Nirvana Country, Gurgaon, Haryana",3.0,Relatively Old,0,0.0,0
136,136,0,57,indepedent,1.45,26852,540,4,4,3,store room,"Sushant Lok Phase 2, Gurgaon, Haryana",3.0,New,0,1.0,70
137,137,0,83,vatika india next,1.7,7870,2160,3,3,3,"pooja room,servant room","Sector 83 Gurgaon, Gurgaon, Haryana",3.0,Relatively New,0,2.0,0
138,138,1,72,tata primanti,3.3,15384,2145,3,3,3,1.0,"1001, Sector 72 Gurgaon, Gurgaon, Haryana",10.0,New,2,1.0,165
139,139,1,67,bestech park view spa next,3.32,12599,2635,4,5,3,1.0,"101, Sector 67 Gurgaon, Gurgaon, Haryana",12.0,Relatively Old,2,1.0,174
140,140,0,72,tata primanti,8.6,12285,7000,4,5,3,0,"Sector 72 Gurgaon, Gurgaon, Haryana",3.0,New,2,0.0,30
141,141,0,108,indepedent,1.34,5000,2680,1,1,0,0,"Sector 108, Gurgaon, Sector 108 Gurgaon, Gurgaon, Haryana",3.0,New,0,0.0,0
142,142,1,107,m3m woodshire,1.8,7623,2361,3,4,3,1.0,"Sector 107 Gurgaon, Gurgaon, Haryana",2.0,New,0,1.0,129
143,143,0,4,grover homes sec 4,4.75,9374,5067,5,5,1,"pooja room,study room,servant room","Sector 4 Gurgaon, Gurgaon, Haryana",3.0,Old,2,3.0,35
144,144,1,35,gls arawali homes,0.29,6035,481,2,2,2,0.0,"Sohna, Gurgaon, Haryana",9.0,New,0,0.0,55
145,145,1,111,puri diplomatic greens,2.65,11963,2215,3,4,3,4.0,"1452, Sector 111 Gurgaon, Gurgaon, Haryana",19.0,New,0,4.0,65
146,146,1,65,emaar mgf emerald floors premier,2.24,13575,1650,3,3,3,2.0,"Sector 65 Gurgaon, Gurgaon, Haryana",2.0,New,0,2.0,46
147,147,1,108,experion the heartsong,1.65,8237,2003,3,4,3,1.0,"Sector 108 Gurgaon, Gurgaon, Haryana",3.0,Relatively Old,2,1.0,75
148,148,1,52,shree kirpalu gi sector 52,1.45,7631,1900,3,3,3,1.0,"Gurgaon, Sector 52 Gurgaon, Gurgaon, Haryana",7.0,New,2,1.0,108
149,149,0,25,dlf city plots phase 2,10.75,29861,3600,9,9,3,"servant room,pooja room,store room","DLF Phase 2, Gurgaon, Haryana",3.0,Old,0,3.0,73
150,150,1,28,chanderlok society,0.9,7234,1244,4,2,3,0.0,"DLF Phase 4, Gurgaon, Haryana",1.0,Old,0,0.0,0
151,151,1,109,raheja atharva,2.2,9490,2318,3,3,2,1.0,"Sector 109 Gurgaon, Gurgaon, Haryana",7.0,Relatively Old,2,1.0,111
152,152,0,48,vipul tatvam villa,8.4,21000,4000,4,5,3,"pooja room,study room,servant room","Sector 48 Gurgaon, Gurgaon, Haryana",3.0,Relatively Old,2,3.0,49
153,153,1,110,indiabulls enigma,4.1,10567,3880,5,5,2,1.0,"Sector 110 Gurgaon, Gurgaon, Haryana",10.0,New,0,1.0,159
154,154,0,28,indepedent,11.25,34722,3240,9,9,3,"pooja room,servant room,store room","House No-, DLF Phase 4, Gurgaon, Haryana",3.0,Relatively Old,2,3.0,126
155,155,0,4,indepedent,5.0,10101,4950,3,3,2,0,"Sector 4 Gurgaon, Gurgaon, Haryana",3.0,Old,0,0.0,22
156,156,1,104,godrej summit,1.16,6387,1816,3,4,3,1.0,"Sector 104 Gurgaon, Gurgaon, Haryana",8.0,New,2,1.0,96
157,157,1,89,smart world gems,1.16,8151,1423,3,3,2,1.0,"Sector 89 Gurgaon, Gurgaon, Haryana",3.0,Under Construction,0,1.0,68
158,158,1,89,smart world gems,1.71,12000,1425,3,2,0,0.0,"Sector 89, Sector 89 Gurgaon, Gurgaon, Haryana",3.0,Relatively New,0,0.0,45
159,159,1,70A,aipl zen residences,1.82,10996,1655,3,3,3,0.0,"Ddd, Sector 70A Gurgaon, Gurgaon, Haryana",12.0,New,0,0.0,108
160,160,0,12,mian wali,1.7,9444,1800,1,1,1,servant room,"Mianwali Colony, Gurgaon, Haryana",3.0,Old,0,1.0,7
161,161,1,108,raheja vedaanta,0.7,4651,1505,2,2,2,0.0,"Sector 108, Sector 108 Gurgaon, Gurgaon, Haryana",12.0,New,0,0.0,0
162,162,1,81,dlf the ultima,2.4,11257,2132,3,3,2,1.0,"703, Sector 81 Gurgaon, Gurgaon, Haryana",10.0,New,1,1.0,174
163,163,0,70A,bptp visionnaire,4.02,7309,5500,4,4,3,"pooja room,store room,study room,servant room","Sector 70A Gurgaon, Gurgaon, Haryana",3.0,New,0,4.0,138
164,164,1,49,vatika city,2.1,10418,2016,3,3,3,1.0,"Vatika City, Sector 49 Gurgaon, Gurgaon, Haryana",9.0,Relatively Old,2,1.0,132
165,165,1,85,orris carnation residency,1.1,6686,1645,3,4,3,1.0,"Sector 85 Gurgaon, Gurgaon, Haryana",6.0,Relatively Old,1,1.0,65
166,166,1,48,central park resorts,5.15,20900,2464,3,3,3,1.0,"10d, Sector 48 Gurgaon, Gurgaon, Haryana",8.0,Relatively Old,1,1.0,53
167,167,1,106,paras dews,1.25,11061,1130,3,4,3,2.0,"B22, Sector 106 Gurgaon, Gurgaon, Haryana",7.0,New,0,2.0,167
168,168,1,89,smart world gems,1.2,8432,1423,3,3,2,0.0,"Sector 89 Gurgaon, Gurgaon, Haryana",2.0,Relatively New,0,0.0,44
169,169,1,68,supertech hues,0.93,8611,1080,2,2,2,0.0,"Sector 68, Sector 68 Gurgaon, Gurgaon, Haryana",11.0,Relatively New,0,0.0,0
170,170,1,54,dlf the belaire,7.0,23333,3000,4,6,3,3.0,"1259, Sector 54 Gurgaon, Gurgaon, Haryana",12.0,Relatively Old,2,3.0,108
171,171,1,67A,ireo the corridors,1.5,11111,1350,2,2,2,1.0,"Sector 67A Gurgaon, Gurgaon, Haryana",10.0,New,2,1.0,38
172,172,1,3,apna enclave,0.5,7692,650,2,2,1,0.0,"46b, Ashok Vihar, Gurgaon, Haryana",1.0,Old,2,0.0,37
173,173,1,37C,corona optus,1.43,7185,1990,3,3,3,2.0,"Sector 37C Gurgaon, Gurgaon, Haryana",2.0,New,0,2.0,49
174,174,0,3,indepedent,1.0,8796,1137,3,2,2,pooja room,"Q-148, New Palam Vihar, Phase-2, Near Royal Oak International School, Near Dwarka Expressway, New Palam Vihar, Gurgaon, Haryana",3.0,Old,0,1.0,0
